Stock,Report Date,Rate,Adjusted Float,Lender Count,Borrow Status,Last Report Date,Last Rate,Change in Rate,Firm Long,Firm Short,Intrafirm?,Close Price,IsFilterMatch
CGUS,45828,-5.6865,3941,4,HTB,45826,-5.7818,0.0953,0,0,FALSE,35.74,TRUE
DYNF,45828,2.6832,188415,12,HTB,45826,2.6855,-0.0023,0,0,FALSE,52.3,TRUE
PCY,45828,2.7592,2057628,12,HTB,45826,2.5496,0.2096,0,0,FALSE,20.07,TRUE
HYEM,45828,3.3185,163730,8,HTB,45826,3.3272,-0.0087,0,0,FALSE,19.61,TRUE
BWMN,45828,4.08,2531850,26,GC,45826,4.08,0,0,0,FALSE,26.75,TRUE
DRSK,45828,-15.3642,5399,3,HTB,45826,-14.6559,-0.7083,0,0,FALSE,28.12,TRUE
DIVI,45828,-9.1708,37993,4,HTB,45826,-9.1723,0.0015,0,0,FALSE,35.33,TRUE
BBC,45828,-23.6069,22101,7,HTB,45826,-23.6204,0.0135,0,0,FALSE,19.577,TRUE
KLRS,45828,2.604,173729,13,HTB,45826,2.5995,0.0045,0,0,FALSE,2.57,TRUE
DSGR,45828,4.08,1775830,22,GC,45826,4.08,0,0,0,FALSE,26.74,TRUE
ISPY,45828,1.9461,60362,9,HTB,45826,1.3856,0.5605,0,0,FALSE,40.85,TRUE
ARKZ,45828,-0.0737,486,3,HTB,45826,-0.1115,0.0378,0,0,FALSE,26.48,TRUE
ARKA,45828,-0.461,2656,3,HTB,45826,-0.461,0,0,0,FALSE,64.8885,TRUE
RBLU,45828,-8.2618,6569,5,HTB,45826,-8.1734,-0.0884,0,0,FALSE,61.1109,TRUE
DJTU,45828,-14.2852,2950,2,HTB,45826,-14.0552,-0.23,0,0,FALSE,11.89,TRUE
ARMU,45828,0.5128,3800,1,HTB,45826,0.5128,0,0,0,FALSE,30.4546,TRUE
UBR,45828,-3.2347,1,1,HTB,45826,-3.3003,0.0656,0,0,FALSE,20.7597,TRUE
COIW,45828,-8.0394,5602,6,HTB,45826,-10.5486,2.5092,0,0,FALSE,44.94,TRUE
AAPW,45828,-16.2066,2086,7,HTB,45826,-18.619,2.4124,0,0,FALSE,34.4856,TRUE
BIOA,45828,-4.2112,1259420,24,HTB,45826,-4.275,0.0638,0,0,FALSE,4.39,TRUE
LLYVA,45828,4.08,3332900,30,GC,45826,4.08,0,0,0,FALSE,77.94,TRUE
HTB,45828,1.8902,3262694,32,HTB,45826,1.9174,-0.0272,0,0,FALSE,35.16,TRUE
VBNK,45828,3.1875,310417,13,HTB,45826,2.6477,0.5398,0,0,FALSE,11.2,TRUE
GNLX,45828,-4.8267,387688,18,HTB,45826,-6.1486,1.3219,0,0,FALSE,2.92,TRUE
ILIT,45828,-11.741,15609,4,HTB,45826,-11.827,0.086,0,0,FALSE,7.56,TRUE
FER,45828,4.08,61221,7,GC,45826,4.08,0,0,0,FALSE,50.58,TRUE
CTA,45828,4.08,1674674,8,GC,45826,4.08,0,0,0,FALSE,27.78,TRUE
AMZD,45828,-23.9676,22515,2,HTB,45826,-20.06,-3.9076,0,0,FALSE,11.35,TRUE
